resident_id,age,role,age_group,home,work
R000,32,worker,adult,home0,work3
R001,29,engineer,adult,home1,work1
R002,33,engineer,adult,home2,work1
R003,37,artist,mid,home3,work3
R004,28,nurse,adult,home4,work2
R005,28,artist,adult,home5,work1
R006,37,worker,mid,home6,work1
R007,33,worker,adult,home7,work1
R008,27,worker,adult,home8,work3
R009,32,nurse,adult,home9,work1
R010,27,nurse,adult,home10,work3
R011,27,artist,adult,home11,work3
R012,31,worker,adult,home12,work3
R013,20,artist,young,home13,work1
R014,21,artist,young,home14,work3
R015,27,engineer,adult,home15,work2
R016,24,worker,young,home16,work1
R017,31,worker,adult,home17,work1
R018,25,engineer,young,home18,work1
R019,22,artist,young,home19,work1
R020,37,nurse,mid,home20,work1
R021,28,engineer,adult,home21,work3
R022,30,engineer,adult,home22,work3
R023,22,worker,young,home23,work1
R024,27,nurse,adult,home24,work3
R025,30,engineer,adult,home25,work1
R026,24,worker,young,home26,work3
R027,31,scientist,adult,home27,work3
R028,26,engineer,adult,home28,work3
R029,28,worker,adult,home29,work3
R030,26,worker,adult,home30,work2
R031,39,worker,mid,home31,work1
R032,29,worker,adult,home32,work2
R033,24,worker,young,home33,work3
R034,34,engineer,adult,home34,work2
R035,23,scientist,young,home35,work1
R036,31,artist,adult,home36,work1
R037,20,engineer,young,home37,work3
R038,23,engineer,young,home38,work2
R039,30,worker,adult,home39,work2
R040,33,worker,adult,home40,work2
R041,30,engineer,adult,home41,work1
R042,29,worker,adult,home42,work1
R043,28,engineer,adult,home43,work2
R044,22,worker,young,home44,work1
R045,26,engineer,adult,home45,work1
R046,27,worker,adult,home46,work2
R047,35,worker,adult,home47,work1
R048,31,nurse,adult,home48,work2
R049,21,engineer,young,home49,work2
R050,31,artist,adult,home50,work3
R051,28,engineer,adult,home51,work2
R052,26,nurse,adult,home52,work1
R053,33,doctor,adult,home53,work3
R054,35,artist,adult,home54,work2
R055,34,worker,adult,home55,work3
R056,25,scientist,young,home56,work1
R057,28,worker,adult,home57,work2
R058,31,worker,adult,home58,work1
R059,34,engineer,adult,home59,work3
R060,27,engineer,adult,home60,work2
R061,29,doctor,adult,home61,work3
R062,24,nurse,young,home62,work3
R063,24,worker,young,home63,work2
R064,34,artist,adult,home64,work3
R065,36,worker,mid,home65,work1
R066,29,worker,adult,home66,work3
R067,35,doctor,adult,home67,work1
R068,31,doctor,adult,home68,work1
R069,26,scientist,adult,home69,work3
R070,31,worker,adult,home70,work1
R071,37,engineer,mid,home71,work2
R072,29,engineer,adult,home72,work1
R073,37,doctor,mid,home73,work1
R074,18,worker,young,home74,work1
R075,34,engineer,adult,home75,work2
R076,30,engineer,adult,home76,work2
R077,28,worker,adult,home77,work2
R078,30,engineer,adult,home78,work3
R079,20,engineer,young,home79,work2
R080,28,worker,adult,home80,work1
R081,31,worker,adult,home81,work2
R082,37,worker,mid,home82,work2
R083,27,engineer,adult,home83,work1
R084,25,worker,young,home84,work3
R085,27,engineer,adult,home85,work2
R086,34,artist,adult,home86,work3
R087,31,worker,adult,home87,work3
R088,27,worker,adult,home88,work3
R089,32,doctor,adult,home89,work1
R090,30,worker,adult,home90,work3
R091,34,worker,adult,home91,work3
R092,26,engineer,adult,home92,work1
R093,28,worker,adult,home93,work3
R094,28,artist,adult,home94,work3
R095,22,engineer,young,home95,work1
R096,31,nurse,adult,home96,work1
R097,31,worker,adult,home97,work2
R098,30,doctor,adult,home98,work2
R099,28,worker,adult,home99,work2
